product_name;order_date;quantity;sales;region;profit;discount
Dumbbells Fuga;07/02/2025;5;398485;South;21266.93;5
Lamp Libero;01/10/2024;5;393580;North;75345.21;20
Rice A;10/05/2024;5;391910;East;34000.6;20
Camera Repellendus;25/03/2024;5;382185;East;20628.52;15
Mixer Grinder Voluptatum;22/07/2025;5;380045;West;87688.21;10
Rice Nobis;20/09/2024;5;379965;West;64504.3;15
Fiction Sapiente;23/02/2024;5;377387.5;West;74951.75;5
Sugar Suscipit;24/05/2025;5;377297.25;North;75188.15;10
Lipstick Facilis;26/03/2025;5;377080;North;86486.3;20
Comics Voluptatibus;29/05/2024;5;376725;West;19604.94;15
Tennis Racket Voluptatum;07/07/2025;5;374035;North;31406.25;20
Fiction Voluptates;24/05/2025;5;373915;South;43357.72;10
Shampoo Fugit;16/10/2024;5;373500;North;43137.24;5
Women's Wear Sit;12/11/2024;5;373455;East;47947.78;0
Shampoo Reprehenderit;30/04/2025;5;372713.5;North;82744.41;5
Wall Art Veniam;07/07/2025;5;372330;East;68748.62;10
Chair Numquam;31/03/2025;5;370956;South;80162.41;15
Women's Wear Fugiat;25/10/2024;5;370685;South;39294.02;10
Football Expedita;31/07/2024;5;368942;East;39518.29;20
Sugar Voluptates;09/10/2023;5;368275;West;89688.44;5
Tennis Racket Culpa;12/02/2025;5;367179.75;West;63169.35;20
Bed Accusamus;19/12/2024;5;361695;North;32722.88;15
Kids Wear Sit;13/09/2025;5;359460;West;64220.07;20
Camera Consequatur;15/06/2024;5;358938.5;East;76355.62;10
Sofa Perspiciatis;27/09/2024;5;358385;North;44017.51;20
Laptop Reiciendis;30/10/2024;5;358200;South;58879.57;5
Accessories Est;16/04/2024;5;355720;North;51224.26;0
Clock Distinctio;01/07/2024;5;355216.5;East;38822.67;0
Sofa Dolor;25/02/2025;5;354706.25;North;21695.58;20
Accessories Repellendus;14/08/2024;5;353172;North;60835.67;15
Perfume Mollitia;09/01/2025;5;352555;West;50630.69;10
Face Cream Dolorem;12/07/2025;5;352179.25;North;71866.56;5
Lamp Suscipit;22/07/2024;5;352051;West;41927.76;20
Doll Nulla;22/12/2024;5;350240;East;31237.23;20
Shoes Nihil;10/06/2024;5;349832.75;South;41408.8;20
Shoes Accusamus;30/12/2024;5;348970;South;61506.89;15
Women's Wear Magni;29/12/2023;5;348650;West;69633.16;0
Rice Optio;01/06/2024;5;348355;North;24008.28;5
Accessories Sit;07/05/2024;5;348222.5;East;24671.88;0
Laptop Doloribus;15/10/2023;5;347787;North;51062.36;10
Men's Wear Eius;21/08/2024;5;345415.5;East;17880.1;20
Kids Wear Mollitia;20/10/2023;5;345000;North;35733.6;5
Lamp Quae;18/08/2025;5;344702.75;West;34711.94;0
Smartwatch Corrupti;03/08/2025;5;344245.5;South;71278.79;20
Cushion Rem;13/12/2024;5;343966.5;East;71314.27;0
Cricket Bat Doloremque;10/01/2024;5;343630;West;60282.44;15
Juicer Inventore;04/03/2024;5;343040;North;77964.03;10
Headphones Maiores;06/05/2024;5;342567;West;48726.33;5
Refrigerator Cumque;30/10/2023;5;342335;North;20449.81;10
Wall Art Quod;19/05/2025;5;342166.5;West;44452.2;0
Tennis Racket Aliquid;07/05/2024;5;342040;East;27572.52;5
Wheat Magnam;16/11/2023;5;341830;East;20138.48;5
Board Game Ipsam;31/08/2024;5;341534.5;West;17532.09;0
Cushion Minus;17/04/2024;5;340765;West;26430.68;20
Headphones Totam;06/09/2024;5;339844.5;East;82804.05;15
Clock Amet;15/09/2024;5;339824.5;North;35606.12;0
Sugar Qui;30/12/2023;5;338971.5;East;22101.23;0
Cushion Eligendi;23/09/2024;5;338810;East;56858.14;15
Headphones Accusantium;23/10/2023;5;338545;West;81868.89;15
Shoes Eius;08/09/2025;5;338376.5;West;60728.83;10
Biography Sequi;16/08/2025;5;338219;West;74570.86;0
Microwave Reiciendis;02/07/2025;5;338067;South;61986.26;15
