iter	Accuracy	MultiClass
0	0.12425	2.300463029
1	0.1405	2.297699099
2	0.14775	2.296525538
3	0.1455	2.295890101
4	0.15125	2.294605107
5	0.1515	2.293756568
6	0.1645	2.288876866
7	0.168	2.288062369
8	0.17375	2.285741769
9	0.1745	2.284881299
10	0.1785	2.283661444
11	0.1835	2.280200781
12	0.18575	2.27957485
13	0.19325	2.276851561
14	0.19775	2.274391507
15	0.196	2.273362847
16	0.19725	2.271882748
17	0.199	2.270306445
18	0.197	2.268095204
19	0.198	2.266315433
20	0.21525	2.261274104
21	0.2165	2.259286144
22	0.22175	2.254814574
23	0.22	2.254439024
24	0.21975	2.25391328
25	0.22075	2.251665019
26	0.22125	2.251455076
27	0.21925	2.249971313
28	0.223	2.248238663
29	0.22275	2.247074459
30	0.2225	2.245858835
31	0.23025	2.243225295
32	0.2275	2.241598673
33	0.22875	2.241080344
34	0.2315	2.240343102
35	0.228	2.239239344
36	0.229	2.238527376
37	0.22925	2.236853086
38	0.23125	2.23550541
39	0.2335	2.233905019
40	0.2315	2.233026317
41	0.2335	2.232003616
42	0.234	2.231045301
43	0.2345	2.230422951
44	0.2365	2.230079476
45	0.237	2.228965567
46	0.237	2.22896497
47	0.237	2.227436611
48	0.24075	2.225898827
49	0.24075	2.225898364
50	0.24475	2.222854091
51	0.246	2.220683268
52	0.24575	2.220513295
53	0.2505	2.217963209
54	0.2505	2.217892104
55	0.25025	2.216631544
56	0.25125	2.215893317
57	0.25075	2.215257418
58	0.2555	2.211880642
59	0.26075	2.209859281
60	0.26275	2.20836381
61	0.2665	2.205920877
62	0.2655	2.203885036
