iter	Passed	Remaining
0	240	120152
1	326	81370
2	413	68432
3	447	55435
4	501	49653
5	596	49128
6	690	48640
7	773	47561
8	868	47402
9	969	47522
10	1098	48848
11	1226	49875
12	1325	49659
13	1431	49688
14	1518	49094
15	1596	48293
16	1696	48203
17	1837	49191
18	1950	49384
19	2030	48728
20	2116	48271
21	2197	47738
22	2272	47126
23	2350	46622
24	2452	46596
25	2530	46134
26	2591	45390
27	2669	45002
28	2765	44919
29	2849	44640
30	2922	44214
31	2993	43782
32	3067	43414
33	3143	43083
34	3227	42878
35	3299	42528
36	3371	42183
37	3456	42019
38	3532	41753
39	3609	41512
40	3701	41439
41	3792	41360
42	3883	41277
43	3964	41083
44	4042	40879
45	4116	40627
46	4129	39797
47	4210	39653
48	4292	39511
49	4306	38759
50	4386	38619
51	4468	38495
52	4504	37989
53	4622	38175
54	4668	37768
55	4748	37645
56	4837	37595
57	4961	37813
58	5064	37855
59	5160	37840
60	5246	37760
61	5354	37827
62	5438	37722
